"plant_no","Cno","Cno_val","plant_name.x.x","genus.x.x","family.x.x","long","long_code","long_val","plant_name.y.x","genus.y.x","family.y.x","soil_nutr","soil_nutr_val","plant_name.x","genus.x","family.x","leafP","leafP_val","plant_name.x.y","genus.x.y","family.x.y","leafN","leafN_val","plant_name.y.y","genus.y.y","family.y.y","plant_name.y","genus.y","family.y"
1540320010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","PARENTUCELLIA VISCOSA","PARENTUCELLIA","SCROPHULARIACEAE","Soil nutrients","fertile","PARENTUCELLIA VISCOSA","PARENTUCELLIA","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PARENTUCELLIA VISCOSA","parentucellia","SCROPHULARIACEAE"
1540340180,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","PEDICULARIS PALUSTRIS","PEDICULARIS","SCROPHULARIACEAE","Soil nutrients","very infertile","PEDICULARIS PALUSTRIS","PEDICULARIS","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEDICULARIS PALUSTRIS","pedicularis","SCROPHULARIACEAE"
1540350020,"2C DNA content (pg)","7.9","RHINANTHUS MINOR","RHINANTHUS","SCROPHULARIACEAE","Longevity of stems (yrs)","5.02","<1","RHINANTHUS MINOR","RHINANTHUS","SCROPHULARIACEAE","Soil nutrients","very infertile","RHINANTHUS MINOR","RHINANTHUS","SCROPHULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHINANTHUS MINOR","rhinanthus","SCROPHULARIACEAE"
1540390010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","LATHRAEA SQUAMARIA","LATHRAEA","OROBANCHACEAE","Soil nutrients","fertile","LATHRAEA SQUAMARIA","LATHRAEA","OROBANCHACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LATHRAEA SQUAMARIA","lathraea","OROBANCHACEAE"
1600020150,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","OROBANCHE RETICULATA","OROBANCHE","OROBANCHACEAE","Soil nutrients","infertile","OROBANCHE RETICULATA","OROBANCHE","OROBANCHACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OROBANCHE RETICULATA","orobanche","OROBANCHACEAE"
1610010110,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","PINGUICULA GRANDIFLORA","PINGUICULA","LENTIBULARIACEAE","Soil nutrients","infertile","PINGUICULA GRANDIFLORA","PINGUICULA","LENTIBULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PINGUICULA GRANDIFLORA","pinguicula","LENTIBULARIACEAE"
1610020040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","UTRICULARIA INTERMEDIA","UTRICULARIA","LENTIBULARIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UTRICULARIA INTERMEDIA","utricularia","LENTIBULARIACEAE"
1630010200,"2C DNA content (pg)","2.3","PLANTAGO LANCEOLATA","PLANTAGO","PLANTAGINACEAE","Longevity of stems (yrs)","5.02","<1","PLANTAGO LANCEOLATA","PLANTAGO","PLANTAGINACEAE","Soil nutrients","fertile","PLANTAGO LANCEOLATA","PLANTAGO","PLANTAGINACEAE","Mature leaf P concentration (mg/g)","<1","PLANTAGO LANCEOLATA","PLANTAGO","PLANTAGINACEAE","Mature leaf N concentration (mg/g)","10-20","PLANTAGO LANCEOLATA","PLANTAGO","PLANTAGINACEAE","PLANTAGO LANCEOLATA","plantago","PLANTAGINACEAE"
1630020010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","very infertile","LITTORELLA UNIFLORA","LITTORELLA","PLANTAGINACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LITTORELLA UNIFLORA","littorella","PLANTAGINACEAE"
1640010030,"2C DNA content (pg)","21.1","SAMBUCUS RACEMOSA","SAMBUCUS","CAPRIFOLIACEAE",NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","SAMBUCUS RACEMOSA","SAMBUCUS","CAPRIFOLIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAMBUCUS RACEMOSA","sambucus","CAPRIFOLIACEAE"
1640020010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","very fertile","VIBURNUM OPULUS","VIBURNUM","CAPRIFOLIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VIBURNUM OPULUS","viburnum","CAPRIFOLIACEAE"
1640030010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","10-100","SYMPHORICARPOS ALBUS","SYMPHORICARPOS","CAPRIFOLIACEAE","Soil nutrients","very fertile","SYMPHORICARPOS ALBUS","SYMPHORICARPOS","CAPRIFOLIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYMPHORICARPOS ALBUS","symphoricarpos","CAPRIFOLIACEAE"
1640040010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","10-100","LINNAEA BOREALIS","LINNAEA","CAPRIFOLIACEAE","Soil nutrients","infertile","LINNAEA BOREALIS","LINNAEA","CAPRIFOLIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINNAEA BOREALIS","linnaea","CAPRIFOLIACEAE"
1640050010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEYCESTERIA FORMOSA","leycesteria","CAPRIFOLIACEAE"
1640060080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","LONICERA XYLOSTEUM","LONICERA","CAPRIFOLIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LONICERA XYLOSTEUM","lonicera","CAPRIFOLIACEAE"
1650010010,"2C DNA content (pg)","28.6","ADOXA MOSCHATELLINA","ADOXA","ADOXACEAE","Longevity of stems (yrs)","5.02","<1","ADOXA MOSCHATELLINA","ADOXA","ADOXACEAE","Soil nutrients","fertile","ADOXA MOSCHATELLINA","ADOXA","ADOXACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADOXA MOSCHATELLINA","adoxa","ADOXACEAE"
1660020160,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","VALERIANELLA DENTATA","VALERIANELLA","VALERIANACEAE","Soil nutrients","fertile","VALERIANELLA DENTATA","VALERIANELLA","VALERIANACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VALERIANELLA DENTATA","valerianella","VALERIANACEAE"
1660040010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","VALERIANA OFFICINALIS","VALERIANA","VALERIANACEAE","Soil nutrients","fertile","VALERIANA OFFICINALIS","VALERIANA","VALERIANACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VALERIANA OFFICINALIS","valeriana","VALERIANACEAE"
1660050010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CENTRANTHUS RUBER","CENTRANTHUS","VALERIANACEAE","Soil nutrients","very infertile","CENTRANTHUS RUBER","CENTRANTHUS","VALERIANACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRANTHUS RUBER","centranthus","VALERIANACEAE"
1670030030,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","DIPSACUS FULLONUM","DIPSACUS","DIPSACACEAE","Soil nutrients","infertile","DIPSACUS FULLONUM","DIPSACUS","DIPSACACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DIPSACUS FULLONUM","dipsacus","DIPSACACEAE"
1670040010,"2C DNA content (pg)","5.5","SUCCISA PRATENSIS","SUCCISA","DIPSACACEAE","Longevity of stems (yrs)","5.02","<1","SUCCISA PRATENSIS","SUCCISA","DIPSACACEAE","Soil nutrients","infertile","SUCCISA PRATENSIS","SUCCISA","DIPSACACEAE","Mature leaf P concentration (mg/g)","<1","SUCCISA PRATENSIS","SUCCISA","DIPSACACEAE","Mature leaf N concentration (mg/g)","10-20","SUCCISA PRATENSIS","SUCCISA","DIPSACACEAE","SUCCISA PRATENSIS","succisa","DIPSACACEAE"
1670060290,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","KNAUTIA ARVENSIS","KNAUTIA","DIPSACACEAE","Soil nutrients","fertile","KNAUTIA ARVENSIS","KNAUTIA","DIPSACACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KNAUTIA ARVENSIS","knautia","DIPSACACEAE"
1670080380,"2C DNA content (pg)","2.3","SCABIOSA COLUMBARIA","SCABIOSA","DIPSACACEAE","Longevity of stems (yrs)","5.02","<1","SCABIOSA COLUMBARIA","SCABIOSA","DIPSACACEAE","Soil nutrients","infertile","SCABIOSA COLUMBARIA","SCABIOSA","DIPSACACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCABIOSA COLUMBARIA","scabiosa","DIPSACACEAE"
1680010990,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CAMPANULA LATIFOLIA","CAMPANULA","CAMPANULACEAE","Soil nutrients","fertile","CAMPANULA LATIFOLIA","CAMPANULA","CAMPANULACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMPANULA LATIFOLIA","campanula","CAMPANULACEAE"
1680050030,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","LEGOUSIA HYBRIDA","LEGOUSIA","CAMPANULACEAE","Soil nutrients","infertile","LEGOUSIA HYBRIDA","LEGOUSIA","CAMPANULACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEGOUSIA HYBRIDA","legousia","CAMPANULACEAE"
1680090010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","PHYTEUMA SPICATUM","PHYTEUMA","CAMPANULACEAE","Soil nutrients","fertile","PHYTEUMA SPICATUM","PHYTEUMA","CAMPANULACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHYTEUMA SPICATUM","phyteuma","CAMPANULACEAE"
1680110010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","WAHLENBERGIA HEDERACEA","WAHLENBERGIA","CAMPANULACEAE","Soil nutrients","infertile","WAHLENBERGIA HEDERACEA","WAHLENBERGIA","CAMPANULACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAHLENBERGIA HEDERACEA","wahlenbergia","CAMPANULACEAE"
1680130010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","JASIONE MONTANA","JASIONE","CAMPANULACEAE","Soil nutrients","very infertile","JASIONE MONTANA","JASIONE","CAMPANULACEAE","Mature leaf P concentration (mg/g)","2-3","JASIONE MONTANA","JASIONE","CAMPANULACEAE","Mature leaf N concentration (mg/g)","10-20","JASIONE MONTANA","JASIONE","CAMPANULACEAE","JASIONE MONTANA","jasione","CAMPANULACEAE"
1680140010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","LOBELIA URENS","LOBELIA","CAMPANULACEAE","Soil nutrients","infertile","LOBELIA URENS","LOBELIA","CAMPANULACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOBELIA URENS","lobelia","CAMPANULACEAE"
1690010010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","EUPATORIUM CANNABINUM","EUPATORIUM","ASTERACEAE","Soil nutrients","fertile","EUPATORIUM CANNABINUM","EUPATORIUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EUPATORIUM CANNABINUM","eupatorium","ASTERACEAE"
1690030010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","SOLIDAGO VIRGAUREA","SOLIDAGO","ASTERACEAE","Soil nutrients","infertile","SOLIDAGO VIRGAUREA","SOLIDAGO","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOLIDAGO VIRGAUREA","solidago","ASTERACEAE"
1690050020,"2C DNA content (pg)","3.9","BELLIS PERENNIS","BELLIS","ASTERACEAE","Longevity of stems (yrs)","5.02","<1","BELLIS PERENNIS","BELLIS","ASTERACEAE","Soil nutrients","fertile","BELLIS PERENNIS","BELLIS","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BELLIS PERENNIS","bellis","ASTERACEAE"
1690070070,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","ASTER NOVI-BELGII","ASTER","ASTERACEAE","Soil nutrients","fertile","ASTER NOVI-BELGII","ASTER","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASTER NOVI-BELGII","aster","ASTERACEAE"
1690080110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","ERIGERON BOREALIS","ERIGERON","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERIGERON BOREALIS","erigeron","ASTERACEAE"
1690090039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","CONYZA SUMATRENSIS","CONYZA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CONYZA SUMATRENSIS","conyza","ASTERACEAE"
1690150038,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","FILAGO MINIMA","FILAGO","ASTERACEAE","Soil nutrients","very infertile","FILAGO MINIMA","FILAGO","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FILAGO MINIMA","filago","ASTERACEAE"
1690230010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","GNAPHALIUM LUTEOALBUM","GNAPHALIUM","ASTERACEAE","Soil nutrients","infertile","GNAPHALIUM LUTEOALBUM","GNAPHALIUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GNAPHALIUM LUTEOALBUM","gnaphalium","ASTERACEAE"
1690260010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","ANTENNARIA DIOICA","ANTENNARIA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTENNARIA DIOICA","antennaria","ASTERACEAE"
1690310190,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","INULA CRITHMOIDES","INULA","ASTERACEAE","Soil nutrients","infertile","INULA CRITHMOIDES","INULA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INULA CRITHMOIDES","inula","ASTERACEAE"
1690330030,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","PULICARIA VULGARIS","PULICARIA","ASTERACEAE","Soil nutrients","infertile","PULICARIA VULGARIS","PULICARIA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PULICARIA VULGARIS","pulicaria","ASTERACEAE"
1690410020,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","BIDENS CONNATA","BIDENS","ASTERACEAE","Soil nutrients","fertile","BIDENS CONNATA","BIDENS","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIDENS CONNATA","bidens","ASTERACEAE"
1690440020,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","RUDBECKIA LACINIATA","RUDBECKIA","ASTERACEAE","Soil nutrients","fertile","RUDBECKIA LACINIATA","RUDBECKIA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUDBECKIA LACINIATA","rudbeckia","ASTERACEAE"
1690520010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","GALINSOGA PARVIFLORA","GALINSOGA","ASTERACEAE","Soil nutrients","fertile","GALINSOGA PARVIFLORA","GALINSOGA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GALINSOGA PARVIFLORA","galinsoga","ASTERACEAE"
1690570270,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","ANTHEMIS ARVENSIS","ANTHEMIS","ASTERACEAE","Soil nutrients","fertile","ANTHEMIS ARVENSIS","ANTHEMIS","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ANTHEMIS ARVENSIS","anthemis","ASTERACEAE"
1690580170,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","ACHILLEA PTARMICA","ACHILLEA","ASTERACEAE","Soil nutrients","infertile","ACHILLEA PTARMICA","ACHILLEA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACHILLEA PTARMICA","achillea","ASTERACEAE"
1690590010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CHAMAEMELUM NOBILE","CHAMAEMELUM","ASTERACEAE","Soil nutrients","infertile","CHAMAEMELUM NOBILE","CHAMAEMELUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHAMAEMELUM NOBILE","chamaemelum","ASTERACEAE"
1690600048,"2C DNA content (pg)","5.3","TRIPLEUROSPERMUM MARITIMUM","TRIPLEUROSPERMUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,"Soil nutrients","fertile","TRIPLEUROSPERMUM MARITIMUM","TRIPLEUROSPERMUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIPLEUROSPERMUM MARITIMUM","tripleurospermum","ASTERACEAE"
1690610018,"2C DNA content (pg)","7.8","MATRICARIA RECUTITA","MATRICARIA","ASTERACEAE","Longevity of stems (yrs)","5.02","<1","MATRICARIA RECUTITA","MATRICARIA","ASTERACEAE","Soil nutrients","fertile","MATRICARIA RECUTITA","MATRICARIA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MATRICARIA RECUTITA","matricaria","ASTERACEAE"
1690650010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","OTANTHUS MARITIMUS","OTANTHUS","ASTERACEAE","Soil nutrients","very infertile","OTANTHUS MARITIMUS","OTANTHUS","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTANTHUS MARITIMUS","otanthus","ASTERACEAE"
1690660010,"2C DNA content (pg)","14.7","CHRYSANTHEMUM SEGETUM","CHRYSANTHEMUM","ASTERACEAE","Longevity of stems (yrs)","5.02","<1","CHRYSANTHEMUM SEGETUM","CHRYSANTHEMUM","ASTERACEAE","Soil nutrients","fertile","CHRYSANTHEMUM SEGETUM","CHRYSANTHEMUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHRYSANTHEMUM SEGETUM","chrysanthemum","ASTERACEAE"
1690690010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","TANACETUM VULGARE","TANACETUM","ASTERACEAE","Soil nutrients","fertile","TANACETUM VULGARE","TANACETUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TANACETUM VULGARE","tanacetum","ASTERACEAE"
1690810010,"2C DNA content (pg)","19.0","LEUCANTHEMUM VULGARE","LEUCANTHEMUM","ASTERACEAE","Longevity of stems (yrs)","5.02","<1","LEUCANTHEMUM VULGARE","LEUCANTHEMUM","ASTERACEAE","Soil nutrients","infertile","LEUCANTHEMUM VULGARE","LEUCANTHEMUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEUCANTHEMUM VULGARE","leucanthemum","ASTERACEAE"
1690830010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","COTULA CORONOPIFOLIA","COTULA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COTULA CORONOPIFOLIA","cotula","ASTERACEAE"
1690880010,"2C DNA content (pg)","6.1","ARTEMISIA VULGARIS","ARTEMISIA","ASTERACEAE","Longevity of stems (yrs)","5.02","<1","ARTEMISIA VULGARIS","ARTEMISIA","ASTERACEAE","Soil nutrients","infertile","ARTEMISIA VULGARIS","ARTEMISIA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARTEMISIA VULGARIS","artemisia","ASTERACEAE"
1690880090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","very fertile","SERIPHIDIUM MARITIMUM","SERIPHIDIUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERIPHIDIUM MARITIMUM","seriphidium","ASTERACEAE"
1690890010,"2C DNA content (pg)","4.6","TUSSILAGO FARFARA","TUSSILAGO","ASTERACEAE","Longevity of stems (yrs)","5.02","<1","TUSSILAGO FARFARA","TUSSILAGO","ASTERACEAE","Soil nutrients","very infertile","TUSSILAGO FARFARA","TUSSILAGO","ASTERACEAE",NA,NA,NA,NA,NA,"Mature leaf N concentration (mg/g)","10-20","TUSSILAGO FARFARA","TUSSILAGO","ASTERACEAE","TUSSILAGO FARFARA","tussilago","ASTERACEAE"
1690900010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","PETASITES ALBUS","PETASITES","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PETASITES ALBUS","petasites","ASTERACEAE"
1690910010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","HOMOGYNE ALPINA","HOMOGYNE","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOMOGYNE ALPINA","homogyne","ASTERACEAE"
1690940080,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","DORONICUM PARDALIANCHES","DORONICUM","ASTERACEAE","Soil nutrients","fertile","DORONICUM PARDALIANCHES","DORONICUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DORONICUM PARDALIANCHES","doronicum","ASTERACEAE"
1690960640,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","SENECIO VISCOSUS","SENECIO","ASTERACEAE","Soil nutrients","infertile","SENECIO VISCOSUS","SENECIO","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SENECIO VISCOSUS","senecio","ASTERACEAE"
1690960330,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","TEPHROSERIS INTEGRIFOLIA","TEPHROSERIS","ASTERACEAE","Soil nutrients","infertile","TEPHROSERIS INTEGRIFOLIA","TEPHROSERIS","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEPHROSERIS INTEGRIFOLIA","tephroseris","ASTERACEAE"
1691060060,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CARLINA VULGARIS","CARLINA","ASTERACEAE","Soil nutrients","infertile","CARLINA VULGARIS","CARLINA","ASTERACEAE","Mature leaf P concentration (mg/g)","1-2","CARLINA VULGARIS","CARLINA","ASTERACEAE","Mature leaf N concentration (mg/g)","10-20","CARLINA VULGARIS","CARLINA","ASTERACEAE","CARLINA VULGARIS","carlina","ASTERACEAE"
1691120040,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","ARCTIUM MINUS","ARCTIUM","ASTERACEAE","Soil nutrients","fertile","ARCTIUM MINUS","ARCTIUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARCTIUM MINUS","arctium","ASTERACEAE"
1691140070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soil nutrients","infertile","SAUSSUREA ALPINA","SAUSSUREA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAUSSUREA ALPINA","saussurea","ASTERACEAE"
1691170050,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CARDUUS NUTANS","CARDUUS","ASTERACEAE","Soil nutrients","fertile","CARDUUS NUTANS","CARDUUS","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARDUUS NUTANS","carduus","ASTERACEAE"
1691180440,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CIRSIUM ACAULE","CIRSIUM","ASTERACEAE","Soil nutrients","very infertile","CIRSIUM ACAULE","CIRSIUM","ASTERACEAE","Mature leaf P concentration (mg/g)","<1","CIRSIUM ACAULE","CIRSIUM","ASTERACEAE","Mature leaf N concentration (mg/g)","10-20","CIRSIUM ACAULE","CIRSIUM","ASTERACEAE","CIRSIUM ACAULE","cirsium","ASTERACEAE"
1691250020,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","ONOPORDUM ACANTHIUM","ONOPORDUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ONOPORDUM ACANTHIUM","onopordum","ASTERACEAE"
1691300010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","SERRATULA TINCTORIA","SERRATULA","ASTERACEAE","Soil nutrients","fertile","SERRATULA TINCTORIA","SERRATULA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SERRATULA TINCTORIA","serratula","ASTERACEAE"
1691381570,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CENTAUREA SOLSTITIALIS","CENTAUREA","ASTERACEAE","Soil nutrients","fertile","CENTAUREA SOLSTITIALIS","CENTAUREA","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTAUREA SOLSTITIALIS","centaurea","ASTERACEAE"
1691460010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CICHORIUM INTYBUS","CICHORIUM","ASTERACEAE","Soil nutrients","very infertile","CICHORIUM INTYBUS","CICHORIUM","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CICHORIUM INTYBUS","cichorium","ASTERACEAE"
1691510010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","ARNOSERIS MINIMA","ARNOSERIS","ASTERACEAE","Soil nutrients","very infertile","ARNOSERIS MINIMA","ARNOSERIS","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARNOSERIS MINIMA","arnoseris","ASTERACEAE"
1691580080,"2C DNA content (pg)","2.59","HYPOCHAERIS GLABRA","HYPOCHAERIS","ASTERACEAE","Longevity of stems (yrs)","5.02","<1","HYPOCHAERIS GLABRA","HYPOCHAERIS","ASTERACEAE","Soil nutrients","infertile","HYPOCHAERIS GLABRA","HYPOCHAERIS","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HYPOCHAERIS GLABRA","hypochaeris","ASTERACEAE"
1691590040,"2C DNA content (pg)","6.0","LEONTODON AUTUMNALIS","LEONTODON","ASTERACEAE","Longevity of stems (yrs)","5.02","<1","LEONTODON AUTUMNALIS","LEONTODON","ASTERACEAE","Soil nutrients","fertile","LEONTODON AUTUMNALIS","LEONTODON","ASTERACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEONTODON AUTUMNALIS","leontodon","ASTERACEAE"
