"plant_no","Cno","Cno_val","plant_name.x.x","genus.x.x","family.x.x","long","long_code","long_val","plant_name.y.x","genus.y.x","family.y.x","soil_nutr","soil_nutr_val","plant_name.x","genus.x","family.x","leafP","leafP_val","plant_name.x.y","genus.x.y","family.x.y","leafN","leafN_val","plant_name.y.y","genus.y.y","family.y.y","plant_name.y","genus.y","family.y"
1480260010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","AMSINCKIA LYCOPSOIDES","AMSINCKIA","BORAGINACEAE","Soil nutrients","fertile","AMSINCKIA LYCOPSOIDES","AMSINCKIA","BORAGINACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMSINCKIA LYCOPSOIDES","amsinckia","BORAGINACEAE"
1480290210,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","MYOSOTIS ALPESTRIS","MYOSOTIS","BORAGINACEAE","Soil nutrients","fertile","MYOSOTIS ALPESTRIS","MYOSOTIS","BORAGINACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MYOSOTIS ALPESTRIS","myosotis","BORAGINACEAE"
1480340040,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CYNOGLOSSUM GERMANICUM","CYNOGLOSSUM","BORAGINACEAE","Soil nutrients","fertile","CYNOGLOSSUM GERMANICUM","CYNOGLOSSUM","BORAGINACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYNOGLOSSUM GERMANICUM","cynoglossum","BORAGINACEAE"
1490030030,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","VERBENA OFFICINALIS","VERBENA","VERBENACEAE","Soil nutrients","fertile","VERBENA OFFICINALIS","VERBENA","VERBENACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VERBENA OFFICINALIS","verbena","VERBENACEAE"
1500010110,"2C DNA content (pg)","5.46","CALLITRICHE BRUTIA","CALLITRICHE","CALLITRICHACEAE","Longevity of stems (yrs)","5.02","<1","CALLITRICHE BRUTIA","CALLITRICHE","CALLITRICHACEAE","Soil nutrients","infertile","CALLITRICHE BRUTIA","CALLITRICHE","CALLITRICHACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CALLITRICHE BRUTIA","callitriche","CALLITRICHACEAE"
1510010100,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","AJUGA CHAMAEPITYS","AJUGA","LAMIACEAE","Soil nutrients","very infertile","AJUGA CHAMAEPITYS","AJUGA","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AJUGA CHAMAEPITYS","ajuga","LAMIACEAE"
1510020180,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","TEUCRIUM BOTRYS","TEUCRIUM","LAMIACEAE","Soil nutrients","very infertile","TEUCRIUM BOTRYS","TEUCRIUM","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEUCRIUM BOTRYS","teucrium","LAMIACEAE"
1510030110,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","SCUTELLARIA GALERICULATA","SCUTELLARIA","LAMIACEAE","Soil nutrients","infertile","SCUTELLARIA GALERICULATA","SCUTELLARIA","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCUTELLARIA GALERICULATA","scutellaria","LAMIACEAE"
1510050100,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","MARRUBIUM VULGARE","MARRUBIUM","LAMIACEAE","Soil nutrients","very fertile","MARRUBIUM VULGARE","MARRUBIUM","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARRUBIUM VULGARE","marrubium","LAMIACEAE"
1510070010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","MELITTIS MELISSOPHYLLUM","MELITTIS","LAMIACEAE","Soil nutrients","infertile","MELITTIS MELISSOPHYLLUM","MELITTIS","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MELITTIS MELISSOPHYLLUM","melittis","LAMIACEAE"
